Ano_Mes,Date,Month_English,Quarter Name,Quarter_English,Semester Name,Semester_English
2016/abr,2016-04-01 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-02 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-03 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-04 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-05 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-06 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-07 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-08 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-09 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-10 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-11 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-12 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-13 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-14 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-15 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-16 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-17 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-18 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-19 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-20 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-21 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-22 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-23 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-24 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-25 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-26 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-27 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-28 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-29 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/abr,2016-04-30 00:00:00,April,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/ago,2016-08-01 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-02 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-03 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-04 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-05 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-06 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-07 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-08 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-09 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-10 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-11 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-12 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-13 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-14 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-15 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-16 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-17 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-18 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-19 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-20 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-21 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-22 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-23 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-24 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-25 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-26 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-27 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-28 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-29 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-30 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/ago,2016-08-31 00:00:00,August,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-01 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-02 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-03 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-04 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-05 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-06 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-07 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-08 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-09 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-10 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-11 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-12 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-13 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-14 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-15 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-16 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-17 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-18 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-19 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-20 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-21 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-22 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-23 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-24 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-25 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-26 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-27 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-28 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-29 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-30 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/dez,2016-12-31 00:00:00,December,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2016/fev,2016-02-01 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-02 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-03 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-04 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-05 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-06 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-07 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-08 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-09 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-10 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-11 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-12 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-13 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-14 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-15 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-16 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-17 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-18 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-19 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
2016/fev,2016-02-20 00:00:00,February,1º Trimestre,1º Quarter,1º Semestre,1º Semester
